"","00:00","00:30","01:00","01:30","02:00","02:30","03:00","03:30","04:00","04:30","05:00","05:30","06:00","06:30","07:00","07:30","08:00","08:30","09:00","09:30","10:00","10:30","11:00","11:30","12:00","12:30","13:00","13:30","14:00","14:30","15:00","15:30","16:00","16:30","17:00","17:30","18:00","18:30","19:00","19:30","20:00","20:30","21:00","21:30","22:00","22:30","23:00","23:30"
"NETRAD_1h30",-35.7892964824121,-35.2288944723618,-33.5833165829146,-32.8378787878788,-31.8905555555556,-30.731608040201,-29.5113567839196,-27.5359798994975,-26.8379899497487,-24.5193467336683,-16.7270351758794,-1.54603015075377,21.0827777777778,53.5117676767677,91.694797979798,141.070909090909,181.489898989899,221.335303030303,257.32398989899,318.852487309645,352.230101010101,368.730202020202,392.121565656566,397.745656565657,412.690303030303,421.110353535354,383.000954773869,356.226884422111,328.746733668342,295.568894472362,264.368341708543,221.388442211055,181.26472361809,139.444070351759,100.136834170854,55.1095979899497,19.3122110552764,-6.68321608040201,-26.6882914572864,-39.0420100502513,-42.7767336683417,-43.4313065326633,-42.3329648241206,-40.9972361809045,-39.1920100502513,-38.2281407035176,-37.6588944723618,-36.8951256281407
"P_1h",0.0381909547738693,0.0452261306532663,0.071356783919598,0.0595959595959596,0.115151515151515,0.078391959798995,0.0974874371859297,0.0743718592964824,0.0673366834170854,0.107537688442211,0.0894472361809045,0.0683417085427136,0.0515151515151515,0.0383838383838384,0.0555555555555556,0.0595959595959596,0.0383838383838384,0.0545454545454545,0.0535353535353535,0.0233502538071066,0.0343434343434343,0.0212121212121212,0.0464646464646465,0.0232323232323232,0.0171717171717172,0.0313131313131313,0.0723618090452261,0.0562814070351759,0.0623115577889447,0.0834170854271357,0.0623115577889447,0.0492462311557789,0.0402010050251256,0.0693467336683417,0.0653266331658292,0.0874371859296482,0.0603015075376884,0.0683417085427136,0.139698492462312,0.0824120603015075,0.181909547738693,0.0984924623115578,0.0613065326633166,0.0964824120603015,0.119597989949749,0.0542713567839196,0.0864321608040201,0.0613065326633166
"PA_3h",97.7966331658291,97.796783919598,97.795527638191,97.7958585858586,97.7892929292929,97.7782412060301,97.7720100502513,97.7639698492462,97.7559798994975,97.7507537688442,97.7473366834171,97.7443718592965,97.7556060606061,97.760303030303,97.7665656565657,97.7747474747475,97.7842424242424,97.7936363636364,97.8031818181818,97.8132994923858,97.8266161616162,97.8315151515151,97.8339393939394,97.8340404040404,97.8320707070707,97.8281313131313,97.8112060301508,97.800351758794,97.7858291457286,97.7733165829146,97.7625628140703,97.7536683417085,97.7453768844221,97.7359798994975,97.7292462311558,97.7245728643216,97.7210050251256,97.7178894472362,97.7191457286432,97.7223115577889,97.7301005025126,97.7391959798995,97.7490452261306,97.7612060301508,97.7769849246231,97.7885427135678,97.7929145728643,97.7951256281407
"PPFD_DIF_1h",0,0,0,0,0,0,0,0,2.90155778894472,13.6711557788945,35.0185929648241,61.2907537688442,102.218121827411,141.147091836735,183.948484848485,221.622099447514,267.223282828283,303.560606060606,351.138585858586,378.767715736041,396.048737373737,434.865909090909,444.19595959596,444.036414141414,443.937676767677,432.979141414141,413.557989949749,394.904221105528,373.525175879397,336.532864321608,297.540201005025,279.082713567839,247.396130653266,204.470703517588,176.956381909548,105.940653266332,66.6122613065327,39.0620100502513,17.7597989949749,5.24839195979899,0.0219095477386935,0,0,0,0,0,0,0
"PPFD_IN_1h",0.018643216080402,0.0152261306532663,0.0178391959798995,0.0172727272727273,0.0205050505050505,0.0175376884422111,0.0285427135678392,0.451306532663317,4.63778894472362,18.5072864321608,46.9850251256281,89.5645728643216,166.22578680203,246.151071428571,337.385404040404,375.940773480663,515.876515151515,592.587070707071,718.533383838384,790.337614213198,831.296666666667,882.068686868687,896.347070707071,934.500858585859,959.66702020202,889.649292929293,834.398793969849,782.118190954774,718.642211055276,662.557386934673,578.49472361809,496.674221105528,415.839849246231,340.813316582915,249.787487437186,169.635979899497,105.273366834171,56.0093969849246,23.392864321608,6.7364824120603,0.807537688442211,0.0447236180904523,0.0196984924623116,0.021356783919598,0.0207537688442211,0.021608040201005,0.0184924623115578,0.017286432160804
"PPFD_OUT_1h",0.0497989949748744,0.0497989949748744,0.0505025125628141,0.0512121212121212,0.049949494949495,0.0481407035175879,0.0474371859296482,0.0638693467336683,0.215025125628141,0.76105527638191,1.92396984924623,3.6335175879397,5.98035353535354,8.66222222222222,12.0616666666667,14.8709523809524,18.9849494949495,22.204797979798,27.2826262626263,30.4170050761421,32.4871212121212,35.1474242424242,36.3236868686869,38.425,39.8814646464646,37.6405555555556,35.7189949748744,33.4932663316583,31.0023115577889,29.0446733668342,25.675527638191,22.2850251256281,18.9540201005025,15.5385929648241,11.4542713567839,8.27221105527638,5.58125628140704,3.15050251256281,1.30969849246231,0.341859296482412,0.0868844221105528,0.0520100502512563,0.0510552763819095,0.0465326633165829,0.0481407035175879,0.050251256281407,0.0498994974874372,0.0510050251256281
"RH",84.8001507537688,85.7342713567839,86.2169346733668,86.600101010101,86.9935353535353,87.2141708542714,87.5421105527638,87.371256281407,86.8656783919598,86.0826633165829,85.0313567839196,83.9776381909548,82.4245454545455,80.770202020202,78.6228282828283,76.2698484848485,73.7407070707071,71.2325252525252,69.2170707070707,67.1752284263959,65.2324242424242,63.6289898989899,61.9867171717172,61.0701515151515,60.4359090909091,60.2019191919192,60.5817085427136,60.5391457286432,60.8312060301508,61.5391457286432,62.058743718593,63.0908040201005,64.3177889447236,65.8156783919598,67.9723115577889,70.0544221105528,72.1383417085427,74.0366331658291,76.4066834170854,78.6097487437186,79.4277889447236,80.1509045226131,80.8706532663317,81.6169346733668,82.5820100502513,83.0837185929648,83.702864321608,84.083567839196
"SW_IN_1h",-1.19874371859296,-1.12371859296482,-1.15748743718593,-1.16318181818182,-1.05959595959596,-1.0708040201005,-0.983316582914573,-0.691608040201005,1.82804020100503,11.2897989949749,30.4314572864322,59.1571859296482,99.4414646464647,145.487878787879,204.681313131313,254.267777777778,302.215858585859,346.101515151515,419.929242424242,461.280253807107,483.801868686869,512.937727272727,520.407727272727,541.503686868687,554.600858585859,512.399292929293,478.49864321608,446.186683417085,407.876281407035,374.045226130653,324.827939698492,278.189045226131,230.909698492462,186.819547738693,134.302512562814,90.8159798994975,56.8954271356784,30.000351758794,11.4080904522613,1.90693467336683,-1.24477386934673,-1.54477386934673,-1.35336683417085,-1.2691959798995,-1.23286432160804,-1.29251256281407,-1.2643216080402,-1.18824120603015
"SW_OUT_30m",1.54814070351759,1.45979899497487,1.40849246231156,1.44191919191919,1.39838383838384,1.3943216080402,1.42452261306533,1.90522613065327,3.92502512562814,7.14773869346734,11.1485427135678,15.9792462311558,21.2130303030303,28.1715656565657,33.8076767676768,39.6469191919192,45.5152525252525,55.5082323232323,61.035404040404,65.1488324873096,70.4305555555556,72.315303030303,76.3931313131313,79.1893434343434,73.995505050505,70.3400505050505,66.3598994974874,61.5442211055276,57.7358793969849,51.4571859296482,46.1996984924623,40.784472361809,35.0127638190955,27.3588944723618,21.2654773869347,15.8685929648241,10.6047236180905,5.88221105527638,2.50190954773869,1.49185929648241,1.45316582914573,1.52693467336683,1.54236180904523,1.48798994974874,1.49768844221106,1.50829145728643,1.5248743718593,1.5648743718593
"TA",11.7145226130653,11.4908040201005,11.3378391959799,11.2039898989899,11.0858585858586,10.9734170854271,10.8701005025126,10.889648241206,11.0425125628141,11.3057575757576,11.6712626262626,12.1972588832487,12.8408629441624,13.3077664974619,13.8967171717172,14.3857070707071,14.9229292929293,15.4374747474747,15.844898989899,16.2903045685279,16.6173232323232,16.955101010101,17.2904545454545,17.4736868686869,17.6144444444444,17.7139393939394,17.7156783919598,17.743216080402,17.746783919598,17.668743718593,17.5672361809045,17.3861306532663,17.058040201005,16.6989447236181,16.2768844221106,15.8149246231156,15.2989447236181,14.8207537688442,14.2858793969849,13.7861306532663,13.4804522613065,13.2275376884422,12.9798492462312,12.7092964824121,12.4095979899497,12.2320100502513,12.0490452261307,11.9112060301508
"TS",13.012,12.979040201005,12.9451608040201,12.931202020202,12.8981767676768,12.8460452261307,12.8134673366834,12.7816582914573,12.7501708542714,12.7202914572864,12.6920452261307,12.6673216080402,12.6657727272727,12.652202020202,12.6478232323232,12.6528939393939,12.667,12.6858232323232,12.7244191919192,12.784461928934,12.816898989899,12.8661313131313,12.9172828282828,12.9685252525253,13.0200404040404,13.0693434343434,13.0958492462312,13.1401457286432,13.1817386934673,13.2208140703518,13.2542311557789,13.2831155778894,13.3051256281407,13.3209045226131,13.3285427135678,13.3295979899497,13.3256281407035,13.3156783919598,13.3004522613065,13.2798994974874,13.2551256281407,13.2291959798995,13.2015376884422,13.1731608040201,13.1431206030151,13.1118592964824,13.0787236180905,13.0457386934673
"TS_2",13.038040201005,13.0166834170854,12.9947738693467,12.9916161616162,12.9686363636364,12.9252261306533,12.9014572864322,12.8773869346734,12.8538693467337,12.8291457286432,12.8056432160804,12.7818542713568,12.7768484848485,12.7559949494949,12.7392878787879,12.7280606060606,12.7224494949495,12.7150606060606,12.7179242424242,12.7445837563452,12.7478333333333,12.7974416243655,12.7967727272727,12.8246363636364,12.8564393939394,12.8893737373737,12.9027185929648,12.9359798994975,12.9688944723618,13.0001507537688,13.0304020100503,13.0584924623116,13.0843718592965,13.1077889447236,13.1270854271357,13.1418592964824,13.1547738693467,13.1617587939698,13.1645728643216,13.1654773869347,13.1597989949749,13.1506030150754,13.1405025125628,13.1280904522613,13.1137688442211,13.0966331658291,13.0781909547739,13.058391959799
"TS_3",12.9024623115578,12.8968844221106,12.8911055276382,12.9030808080808,12.8948484848485,12.8664824120603,12.8573366834171,12.8472864321608,12.8361306532663,12.8245226130653,12.8132663316583,12.8006030150754,12.8032828282828,12.790404040404,12.7782323232323,12.7659390862944,12.8132989690722,12.7995384615385,12.7317676767677,12.7542857142857,12.7328426395939,12.7362436548223,12.7367512690355,12.7392385786802,12.7214646464646,12.7283333333333,12.7203015075377,12.730351758794,12.7421608040201,12.7551256281407,12.7913636363636,12.805202020202,12.820202020202,12.8351515151515,12.826432160804,12.8398994974874,12.8552261306533,12.8676381909548,12.8789447236181,12.8903015075377,12.8973366834171,12.9030150753769,12.9074371859296,12.911256281407,12.9120603015075,12.9121105527638,12.9097487437186,12.9066331658291
"WD_1h30",164.40797979798,164.47797979798,161.874797979798,163.397208121827,161.940918367347,162.679387755102,162.341734693878,164.536358974359,164.12654822335,163.804517766497,163.982385786802,159.899796954315,162.778418367347,172.810357142857,178.664642857143,183.077193877551,186.377346938776,199.627397959184,195.796787564767,195.647564766839,192.925179487179,194.225076923077,195.999329896907,199.973826530612,200.623316326531,199.304285714286,199.090507614213,206.891065989848,207.775736040609,198.630050505051,199.559191919192,197.245101010101,195.884242424242,188.940101010101,187.340353535354,186.835202020202,181.053282828283,176.352727272727,172.354292929293,171.085050505051,167.278383838384,167.771212121212,163.922335025381,165.503787878788,164.424545454545,164.968434343434,162.23696969697,165.09494949495
"WS",1.62969696969697,1.63060606060606,1.62868686868687,1.60382653061225,1.6180612244898,1.56263959390863,1.57807106598985,1.56131979695431,1.51010152284264,1.48959390862944,1.46228426395939,1.49162436548223,1.54571428571429,1.63271794871795,1.73251282051282,1.79538860103627,1.90231958762887,2.00661538461538,2.09584615384615,2.15290155440415,2.18908163265306,2.17581632653061,2.23010204081633,2.26454081632653,2.22826530612245,2.15678571428571,2.11873737373737,2.06172588832487,2.03393939393939,1.96116161616162,1.9040404040404,1.81540404040404,1.82989898989899,1.79454545454545,1.75328282828283,1.76338383838384,1.80070707070707,1.79686868686869,1.79419191919192,1.79939393939394,1.7820202020202,1.78808080808081,1.76166666666667,1.7379797979798,1.72570707070707,1.63767676767677,1.63287878787879,1.62328282828283
"CO2",423.666717171717,425.188939393939,425.15702020202,426.270510204082,427.027857142857,427.553350253807,428.459187817259,427.749340101523,427.132893401015,425.935532994924,423.308781725888,420.198984771574,416.736989795918,413.001897435897,409.897435897436,406.856373056995,404.550824742268,402.385435897436,400.676717948718,398.975025906736,398.328265306122,397.607908163265,396.709744897959,395.914030612245,396.365255102041,396.060714285714,395.583535353535,395.316446700508,395.169898989899,394.508383838384,394.186212121212,394.423232323232,395.104090909091,395.99398989899,397.223737373737,399.128585858586,401.234090909091,404.050151515152,407.955656565657,411.581919191919,413.112575757576,414.56601010101,416.403131313131,418.270505050505,419.728282828283,420.21797979798,420.993181818182,421.970808080808
"FC_1h",3.43807106598985,3.78263959390863,3.7651269035533,4.01609137055838,3.92872448979592,4.13816326530612,4.00294416243655,3.55741116751269,3.4540306122449,3.50030612244898,3.03796954314721,1.06172588832487,-1.34142857142857,-2.38376288659794,-3.82355670103093,-6.20840206185567,-7.33647668393782,-9.18875647668394,-10.3451030927835,-11.8780829015544,-12.5692307692308,-13.1280412371134,-13.0884693877551,-13.2084183673469,-13.0410769230769,-12.2334183673469,-11.5489340101523,-11.5706666666667,-10.7613705583756,-10.3306091370558,-8.99030456852792,-8.0290404040404,-6.92661616161616,-5.66111675126904,-3.94146464646465,-2.01444444444444,-0.887070707070707,0.534141414141414,1.26035353535354,1.8089898989899,2.32741116751269,3.04609137055838,3.4241116751269,3.69413265306122,3.83085858585859,4.22883838383838,4.24151515151515,3.41106060606061
"H_1h30",-28.3970707070707,-28.0311111111111,-27.7411616161616,-28.9746192893401,-28.0300507614213,-27.5599494949495,-27.1965482233503,-27.4098984771574,-24.6144670050761,-24.8231979695431,-25.2658883248731,-22.1623350253807,-17.0726530612245,-5.02591836734694,3.40362244897959,16.7770918367347,26.1094871794872,37.8457948717949,48.0924870466321,67.3945595854922,80.0743076923077,86.7401538461538,96.5081865284974,95.9765306122449,103.027142857143,108.389540816327,93.4339086294416,82.8515228426396,77.5818274111675,61.9532323232323,53.3164974619289,42.710101010101,30.0839393939394,16.6776262626263,6.90553299492386,-3.65426395939086,-14.0491414141414,-18.9057575757576,-25.6086868686869,-25.322806122449,-29.3988888888889,-29.3822842639594,-31.0763959390863,-33.1060606060606,-33.2520707070707,-32.9053535353535,-32.2276262626263,-32.6971717171717
"H2O_3h",12.0792424242424,12.0107070707071,11.9435858585859,11.8921827411168,11.8471573604061,11.8129292929293,11.8086868686869,11.7970707070707,11.7198484848485,11.6692893401015,11.6369543147208,11.5934010152284,11.5742857142857,11.5595408163265,11.6114285714286,11.6998469387755,11.8854081632653,12.1163775510204,12.3286224489796,12.489381443299,12.4985128205128,12.4461139896373,12.3728865979381,12.3026666666667,12.2344615384615,12.1612371134021,11.9865482233503,11.9190862944162,11.8418781725888,11.7807106598985,11.7514720812183,11.7817766497462,11.8660606060606,11.8651776649746,11.9293434343434,11.9832323232323,11.9893939393939,12.0484343434343,12.0240909090909,12.0256060606061,12.1252525252525,12.1828282828283,12.1980808080808,12.2034848484848,12.2809595959596,12.3111111111111,12.2054545454545,12.1425757575758
"LE_30m",0.0724043715846994,0.534098360655738,0.0703825136612022,0.0124444444444444,-0.140777777777778,-0.873093922651934,-0.504861878453039,-0.269226519337017,-0.00309392265193369,0.554640883977901,1.95577777777778,6.84486187845304,12.5304972375691,21.6434806629834,32.2536111111111,42.0301675977654,56.7728977272727,76.1637078651685,88.8340782122905,100.079888268156,110.621777777778,117.468241758242,126.014175824176,135.420604395604,127.253204419889,123.444835164835,122.09,110.672445652174,106.002087912088,94.2113661202186,80.6042076502732,70.2842934782609,52.8210326086957,36.9013043478261,25.4412432432432,13.6725945945946,6.46135869565217,1.68120218579235,1.18841530054645,1.10869565217391,0.690978260869565,0.311847826086956,0.737336956521739,0.140815217391304,0.421263736263736,0.197142857142857,-0.439180327868853,-0.371803278688525
"SB",-4.22105527638191,-4.32738693467337,-4.42251256281407,-4.48186868686869,-4.40469696969697,-4.23889447236181,-4.02336683417085,-3.7151256281407,-3.35492462311558,-2.8791959798995,-2.27356783919598,-1.12889447236181,-0.00368686868686867,0.537373737373737,1.49272727272727,2.50106060606061,3.57848484848485,4.74479797979798,6.20823232323232,6.60279187817259,7.1930303030303,7.56833333333333,7.72777777777778,7.85030303030303,7.80313131313131,7.60565656565657,7.36748743718593,7.11256281407035,6.7570351758794,6.24201005025126,5.61603015075377,4.83301507537688,3.92452261306533,3.00808080808081,2.03809045226131,1.25015075376884,0.554422110552764,-0.195527638190955,-0.861608040201005,-1.48306532663317,-2.00497487437186,-2.35492462311558,-2.69738693467337,-2.98025125628141,-3.29673366834171,-3.59718592964824,-3.86949748743719,-4.04532663316583
"SC_3h",0.928844221105528,0.52356783919598,0.552222222222222,0.373908629441624,0.507525252525252,0.0577889447236181,1.03020100502513,0.434070351758794,0.417537688442211,0.348643216080402,0.0563316582914573,0.281457286432161,0.10040404040404,-0.288131313131313,-0.172979797979798,-0.284949494949495,-1.3560101010101,-1.82873737373737,-1.76690355329949,-2.51739795918367,-1.42913705583756,-2.00616666666667,-1.23043956043956,-1.32371134020619,-0.995102040816327,-0.590612244897959,-0.38761421319797,-0.525454545454546,-0.0545454545454545,-0.143467336683417,-0.55894472361809,-0.06321608040201,-0.0978391959798995,-0.0319191919191919,0.198686868686869,-0.113165829145729,0.221515151515152,0.423165829145729,0.599145728643216,0.916161616161616,0.657788944723618,1.38247474747475,0.817587939698492,1.55778894472362,1.90804020100503,1.94793969849246,0.978140703517588,0.932763819095477
"SH_3h",-3.76035353535354,-4.10792929292929,-4.54161616161616,-2.73375634517767,-2.79984771573604,-2.15909090909091,-2.99252525252525,-3.3720202020202,-2.32409090909091,-2.16685279187817,-1.82395939086294,-1.55395939086294,-1.56545918367347,0.313673469387755,2.36219387755102,3.95602040816327,6.4854358974359,7.18184615384615,9.1725641025641,7.94067010309278,8.17246153846154,7.46269430051813,8.26103092783505,7.84466666666667,6.14902564102564,5.92556701030928,4.68152284263959,5.06065989847716,4.98913705583756,2.7561421319797,2.13928934010152,1.38878172588832,0.693131313131313,0.577715736040609,-0.0143939393939394,-1.19363636363636,-1.5629797979798,-2.76227272727273,-4.97106060606061,-5.44949494949495,-6.38747474747475,-6.95414141414141,-7.76373737373737,-7.18621212121212,-8.0420202020202,-7.52737373737374,-4.61808080808081,-3.80570707070707
"SLE_3h",-30.5979787234043,-33.6348936170213,-27.5868108108108,-25.3582446808511,-27.84203125,-20.10796875,-9.77927083333333,-21.0949479166667,-14.8148167539267,-20.4077368421053,-17.1870769230769,-18.9725257731959,-13.8067015706806,-5.14181347150259,25.4255729166667,29.9874444444444,39.272641509434,31.1622857142857,39.2511971830986,37.32875,8.67967105263158,19.5712244897959,8.8322962962963,3.98602739726027,8.02621428571429,12.1396226415094,1.38363636363636,0.559034482758621,-1.70872483221477,3.48205882352941,14.5151079136691,-5.30639455782313,18.4677397260274,15.2329496402878,7.44585185185185,7.23057553956835,-0.150791366906475,1.24324324324324,-7.9683552631579,-5.06347826086956,-15.3760122699387,-7.32853801169591,-22.2417964071856,-31.0521951219512,-18.3719774011299,-33.3783615819209,-30.8135326086957,-33.2889784946237
"TAU_30m",0.168030303030303,0.180505050505051,0.18020202020202,0.172131979695431,0.165255102040816,0.166091370558376,0.156852791878173,0.162182741116751,0.170253807106599,0.162081218274112,0.163096446700508,0.178324873096447,0.191071428571429,0.213418367346939,0.234410256410256,0.264153846153846,0.276373056994819,0.313917525773196,0.340564102564103,0.359536082474227,0.368556701030928,0.376530612244898,0.375357142857143,0.391836734693878,0.388102564102564,0.363214285714286,0.356700507614213,0.334242424242424,0.31756345177665,0.294263959390863,0.27479797979798,0.253535353535354,0.228686868686869,0.214263959390863,0.186060606060606,0.168989898989899,0.17,0.166414141414141,0.166414141414141,0.174090909090909,0.174242424242424,0.177929292929293,0.186212121212121,0.180507614213198,0.182893401015228,0.186515151515152,0.176414141414141,0.168383838383838
"USTAR_30m",0.292222222222222,0.298434343434343,0.297929292929293,0.293553299492386,0.290459183673469,0.295888324873096,0.289238578680203,0.290152284263959,0.294314720812183,0.293553299492386,0.299035532994924,0.305939086294416,0.325051020408163,0.350714285714286,0.373692307692308,0.405641025641026,0.420414507772021,0.450412371134021,0.474974358974359,0.492835051546392,0.502989690721649,0.513010204081633,0.510510204081633,0.525408163265306,0.527295918367347,0.508112244897959,0.502842639593909,0.48959595959596,0.475177664974619,0.4548730964467,0.433282828282828,0.413383838383838,0.385656565656566,0.362690355329949,0.337373737373737,0.311818181818182,0.307878787878788,0.296616161616162,0.29979797979798,0.30020202020202,0.304848484848485,0.306717171717172,0.315252525252525,0.310909090909091,0.314292929292929,0.310050505050505,0.298888888888889,0.288686868686869
"ZL_3h",0.968686868686869,1.01217171717172,1.06717171717172,0.865204081632653,0.831116751269036,0.845757575757576,0.90989898989899,0.968434343434343,0.754242424242424,1.26076923076923,1.05817258883249,0.581128205128205,1.17902564102564,0.616839378238342,0.429846153846154,0.196358974358974,-1.63734693877551,-2.63697435897436,-1.8225641025641,-2.01394871794872,-1.74198979591837,-1.37290816326531,-1.24010204081633,-1.30469387755102,-1.06010204081633,-1.30030612244898,-0.665685279187817,-0.661224489795918,-0.763502538071066,-0.772994923857868,-0.836243654822335,-0.653959390862944,-0.576767676767677,-0.516464646464647,-0.408787878787879,-0.426666666666667,-0.355555555555556,0.123282828282828,-0.167676767676768,0.19979797979798,0.42010101010101,0.542626262626263,0.80010152284264,0.737323232323232,0.765555555555556,0.908888888888889,1.09282828282828,0.791060606060606
"G",-3.1528391959799,-3.28396984924623,-3.34907035175879,-3.41876262626263,-3.35871212121212,-3.19889447236181,-2.99173366834171,-2.70804020100503,-2.35811557788945,-1.9328391959799,-1.37929648241206,-0.345904522613065,0.60719696969697,0.967247474747475,1.63189393939394,2.34020202020202,3.13141414141414,4.1485101010101,4.98613636363636,5.1653807106599,5.73037878787879,6.00957070707071,6.10777777777778,6.2279797979798,6.17159090909091,6.04449494949495,5.88668341708543,5.70982412060301,5.4394472361809,5.00422110552764,4.55768844221106,3.91879396984925,3.22738693467337,2.48412060301508,1.79605527638191,1.21680904522613,0.680150753768844,0.119522613065327,-0.379597989949749,-0.832814070351759,-1.22050251256281,-1.53366834170854,-1.82105527638191,-2.08158291457286,-2.34489949748744,-2.60723618090452,-2.81967336683417,-3.00047738693467
"VPD",0.238601149379647,0.218779726054886,0.209319323561344,0.201741673700344,0.194443421987264,0.19030762396578,0.184198339210121,0.187724398461244,0.198555634026029,0.217243864448131,0.242426421837978,0.274006294253325,0.316782224267872,0.354492758422103,0.412863896063722,0.47321556032156,0.541809183618046,0.610383480276781,0.664550845080903,0.724143584444379,0.77866680483147,0.828781977664451,0.880167364649452,0.910767378757236,0.93589682306982,0.951948908902157,0.946786804171069,0.946765399921313,0.948401039645524,0.931844478778698,0.919751638050971,0.888770953654062,0.84665482388156,0.802213948971244,0.73908926698972,0.669922188044374,0.599940271123005,0.539572135289856,0.462573531273595,0.396682859188081,0.371801450370279,0.348904052794537,0.328766584100265,0.30834312988496,0.284139838884138,0.275026831362952,0.262054252441334,0.252787428514364
