DATE	00:00:00	00:30:00	01:00:00	01:30:00	02:00:00	02:30:00	03:00:00	03:30:00	04:00:00	04:30:00	05:00:00	05:30:00	06:00:00	06:30:00	07:00:00	07:30:00	08:00:00	08:30:00	09:00:00	09:30:00	10:00:00	10:30:00	11:00:00	11:30:00	12:00:00	12:30:00	13:00:00	13:30:00	14:00:00	14:30:00	15:00:00	15:30:00	16:00:00	16:30:00	17:00:00	17:30:00	18:00:00	18:30:00	19:00:00	19:30:00	20:00:00	20:30:00	21:00:00	21:30:00	22:00:00	22:30:00	23:00:00	23:30:00
P_1h	0.0381909547738693	0.0452261306532663	0.071356783919598	0.0595959595959596	0.115151515151515	0.078391959798995	0.0974874371859297	0.0743718592964824	0.0673366834170854	0.107537688442211	0.0894472361809045	0.0683417085427136	0.0515151515151515	0.0383838383838384	0.0555555555555556	0.0595959595959596	0.0383838383838384	0.0545454545454545	0.0535353535353535	0.0233502538071066	0.0343434343434343	0.0212121212121212	0.0464646464646465	0.0232323232323232	0.0171717171717172	0.0313131313131313	0.0723618090452261	0.0562814070351759	0.0623115577889447	0.0834170854271357	0.0623115577889447	0.0492462311557789	0.0402010050251256	0.0693467336683417	0.0653266331658292	0.0874371859296482	0.0603015075376884	0.0683417085427136	0.139698492462312	0.0824120603015075	0.181909547738693	0.0984924623115578	0.0613065326633166	0.0964824120603015	0.119597989949749	0.0542713567839196	0.0864321608040201	0.0613065326633166
PPFD_IN_1h	0.018643216080402	0.0152261306532663	0.0178391959798995	0.0172727272727273	0.0205050505050505	0.0175376884422111	0.0285427135678392	0.451306532663317	4.63778894472362	18.5072864321608	46.9850251256281	89.5645728643216	166.22578680203	246.151071428571	337.385404040404	375.940773480663	515.876515151515	592.587070707071	718.533383838384	790.337614213198	831.296666666667	882.068686868687	896.347070707071	934.500858585859	959.66702020202	889.649292929293	834.398793969849	782.118190954774	718.642211055276	662.557386934673	578.49472361809	496.674221105528	415.839849246231	340.813316582915	249.787487437186	169.635979899497	105.273366834171	56.0093969849246	23.392864321608	6.7364824120603	0.807537688442211	0.0447236180904523	0.0196984924623116	0.021356783919598	0.0207537688442211	0.021608040201005	0.0184924623115578	0.017286432160804
TS	13.012	12.979040201005	12.9451608040201	12.931202020202	12.8981767676768	12.8460452261307	12.8134673366834	12.7816582914573	12.7501708542714	12.7202914572864	12.6920452261307	12.6673216080402	12.6657727272727	12.652202020202	12.6478232323232	12.6528939393939	12.667	12.6858232323232	12.7244191919192	12.784461928934	12.816898989899	12.8661313131313	12.9172828282828	12.9685252525253	13.0200404040404	13.0693434343434	13.0958492462312	13.1401457286432	13.1817386934673	13.2208140703518	13.2542311557789	13.2831155778894	13.3051256281407	13.3209045226131	13.3285427135678	13.3295979899497	13.3256281407035	13.3156783919598	13.3004522613065	13.2798994974874	13.2551256281407	13.2291959798995	13.2015376884422	13.1731608040201	13.1431206030151	13.1118592964824	13.0787236180905	13.0457386934673
WD_1h30	164.40797979798	164.47797979798	161.874797979798	163.397208121827	161.940918367347	162.679387755102	162.341734693878	164.536358974359	164.12654822335	163.804517766497	163.982385786802	159.899796954315	162.778418367347	172.810357142857	178.664642857143	183.077193877551	186.377346938776	199.627397959184	195.796787564767	195.647564766839	192.925179487179	194.225076923077	195.999329896907	199.973826530612	200.623316326531	199.304285714286	199.090507614213	206.891065989848	207.775736040609	198.630050505051	199.559191919192	197.245101010101	195.884242424242	188.940101010101	187.340353535354	186.835202020202	181.053282828283	176.352727272727	172.354292929293	171.085050505051	167.278383838384	167.771212121212	163.922335025381	165.503787878788	164.424545454545	164.968434343434	162.23696969697	165.09494949495
WS	1.62969696969697	1.63060606060606	1.62868686868687	1.60382653061225	1.6180612244898	1.56263959390863	1.57807106598985	1.56131979695431	1.51010152284264	1.48959390862944	1.46228426395939	1.49162436548223	1.54571428571429	1.63271794871795	1.73251282051282	1.79538860103627	1.90231958762887	2.00661538461538	2.09584615384615	2.15290155440415	2.18908163265306	2.17581632653061	2.23010204081633	2.26454081632653	2.22826530612245	2.15678571428571	2.11873737373737	2.06172588832487	2.03393939393939	1.96116161616162	1.9040404040404	1.81540404040404	1.82989898989899	1.79454545454545	1.75328282828283	1.76338383838384	1.80070707070707	1.79686868686869	1.79419191919192	1.79939393939394	1.7820202020202	1.78808080808081	1.76166666666667	1.7379797979798	1.72570707070707	1.63767676767677	1.63287878787879	1.62328282828283
CO2	423.666717171717	425.188939393939	425.15702020202	426.270510204082	427.027857142857	427.553350253807	428.459187817259	427.749340101523	427.132893401015	425.935532994924	423.308781725888	420.198984771574	416.736989795918	413.001897435897	409.897435897436	406.856373056995	404.550824742268	402.385435897436	400.676717948718	398.975025906736	398.328265306122	397.607908163265	396.709744897959	395.914030612245	396.365255102041	396.060714285714	395.583535353535	395.316446700508	395.169898989899	394.508383838384	394.186212121212	394.423232323232	395.104090909091	395.99398989899	397.223737373737	399.128585858586	401.234090909091	404.050151515152	407.955656565657	411.581919191919	413.112575757576	414.56601010101	416.403131313131	418.270505050505	419.728282828283	420.21797979798	420.993181818182	421.970808080808
LE_30m	0.0724043715846994	0.534098360655738	0.0703825136612022	0.0124444444444444	-0.140777777777778	-0.873093922651934	-0.504861878453039	-0.269226519337017	-0.00309392265193369	0.554640883977901	1.95577777777778	6.84486187845304	12.5304972375691	21.6434806629834	32.2536111111111	42.0301675977654	56.7728977272727	76.1637078651685	88.8340782122905	100.079888268156	110.621777777778	117.468241758242	126.014175824176	135.420604395604	127.253204419889	123.444835164835	122.09	110.672445652174	106.002087912088	94.2113661202186	80.6042076502732	70.2842934782609	52.8210326086957	36.9013043478261	25.4412432432432	13.6725945945946	6.46135869565217	1.68120218579235	1.18841530054645	1.10869565217391	0.690978260869565	0.311847826086956	0.737336956521739	0.140815217391304	0.421263736263736	0.197142857142857	-0.439180327868853	-0.371803278688525
SB	-4.22105527638191	-4.32738693467337	-4.42251256281407	-4.48186868686869	-4.40469696969697	-4.23889447236181	-4.02336683417085	-3.7151256281407	-3.35492462311558	-2.8791959798995	-2.27356783919598	-1.12889447236181	-0.00368686868686867	0.537373737373737	1.49272727272727	2.50106060606061	3.57848484848485	4.74479797979798	6.20823232323232	6.60279187817259	7.1930303030303	7.56833333333333	7.72777777777778	7.85030303030303	7.80313131313131	7.60565656565657	7.36748743718593	7.11256281407035	6.7570351758794	6.24201005025126	5.61603015075377	4.83301507537688	3.92452261306533	3.00808080808081	2.03809045226131	1.25015075376884	0.554422110552764	-0.195527638190955	-0.861608040201005	-1.48306532663317	-2.00497487437186	-2.35492462311558	-2.69738693467337	-2.98025125628141	-3.29673366834171	-3.59718592964824	-3.86949748743719	-4.04532663316583
SH_3h	-3.76035353535354	-4.10792929292929	-4.54161616161616	-2.73375634517767	-2.79984771573604	-2.15909090909091	-2.99252525252525	-3.3720202020202	-2.32409090909091	-2.16685279187817	-1.82395939086294	-1.55395939086294	-1.56545918367347	0.313673469387755	2.36219387755102	3.95602040816327	6.4854358974359	7.18184615384615	9.1725641025641	7.94067010309278	8.17246153846154	7.46269430051813	8.26103092783505	7.84466666666667	6.14902564102564	5.92556701030928	4.68152284263959	5.06065989847716	4.98913705583756	2.7561421319797	2.13928934010152	1.38878172588832	0.693131313131313	0.577715736040609	-0.0143939393939394	-1.19363636363636	-1.5629797979798	-2.76227272727273	-4.97106060606061	-5.44949494949495	-6.38747474747475	-6.95414141414141	-7.76373737373737	-7.18621212121212	-8.0420202020202	-7.52737373737374	-4.61808080808081	-3.80570707070707
USTAR_30m	0.292222222222222	0.298434343434343	0.297929292929293	0.293553299492386	0.290459183673469	0.295888324873096	0.289238578680203	0.290152284263959	0.294314720812183	0.293553299492386	0.299035532994924	0.305939086294416	0.325051020408163	0.350714285714286	0.373692307692308	0.405641025641026	0.420414507772021	0.450412371134021	0.474974358974359	0.492835051546392	0.502989690721649	0.513010204081633	0.510510204081633	0.525408163265306	0.527295918367347	0.508112244897959	0.502842639593909	0.48959595959596	0.475177664974619	0.4548730964467	0.433282828282828	0.413383838383838	0.385656565656566	0.362690355329949	0.337373737373737	0.311818181818182	0.307878787878788	0.296616161616162	0.29979797979798	0.30020202020202	0.304848484848485	0.306717171717172	0.315252525252525	0.310909090909091	0.314292929292929	0.310050505050505	0.298888888888889	0.288686868686869
ZL_3h	0.968686868686869	1.01217171717172	1.06717171717172	0.865204081632653	0.831116751269036	0.845757575757576	0.90989898989899	0.968434343434343	0.754242424242424	1.26076923076923	1.05817258883249	0.581128205128205	1.17902564102564	0.616839378238342	0.429846153846154	0.196358974358974	-1.63734693877551	-2.63697435897436	-1.8225641025641	-2.01394871794872	-1.74198979591837	-1.37290816326531	-1.24010204081633	-1.30469387755102	-1.06010204081633	-1.30030612244898	-0.665685279187817	-0.661224489795918	-0.763502538071066	-0.772994923857868	-0.836243654822335	-0.653959390862944	-0.576767676767677	-0.516464646464647	-0.408787878787879	-0.426666666666667	-0.355555555555556	0.123282828282828	-0.167676767676768	0.19979797979798	0.42010101010101	0.542626262626263	0.80010152284264	0.737323232323232	0.765555555555556	0.908888888888889	1.09282828282828	0.791060606060606
VPD	0.238601149379647	0.218779726054886	0.209319323561344	0.201741673700344	0.194443421987264	0.19030762396578	0.184198339210121	0.187724398461244	0.198555634026029	0.217243864448131	0.242426421837978	0.274006294253325	0.316782224267872	0.354492758422103	0.412863896063722	0.47321556032156	0.541809183618046	0.610383480276781	0.664550845080903	0.724143584444379	0.77866680483147	0.828781977664451	0.880167364649452	0.910767378757236	0.93589682306982	0.951948908902157	0.946786804171069	0.946765399921313	0.948401039645524	0.931844478778698	0.919751638050971	0.888770953654062	0.84665482388156	0.802213948971244	0.73908926698972	0.669922188044374	0.599940271123005	0.539572135289856	0.462573531273595	0.396682859188081	0.371801450370279	0.348904052794537	0.328766584100265	0.30834312988496	0.284139838884138	0.275026831362952	0.262054252441334	0.252787428514364
